dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Highlands,Highlands,Highlands,7732,40.40372,-73.99153,0,Convertible,Black,0.17,7732,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Hometown,Tamaqua,Tamaqua,18252,40.79849,-75.937836,0,Convertible,Black,0.17,18252,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Hondo,Hondo,Hondo,78861,29.398586,-99.176245,0,Convertible,Black,0.17,78861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Horsham,Horsham,Horsham,19044,40.191808,-75.150577,47,Casual,Black,0.17,19044,0,0,0,0,9,7,0,0,5,0,4,22,2,5,0,21
Fans,Philadelphia Phillies,MLB,Jenkintown,Jenkintown,Jenkintown,19046,40.09796,-75.107767,30,Casual,Black,0.17,19046,3,4,0,8,0,0,0,0,0,0,3,12,7,3,0,14
Fans,Philadelphia Phillies,MLB,Jersey Shore,Jersey Shore,Jersey Shore,17740,41.25063,-77.267758,0,Convertible,Black,0.17,17740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Kennett Square,Kennett Square,Kennett Square,19348,39.867864,-75.716333,21,Convertible,Black,0.17,19348,1,1,0,1,0,3,0,0,0,2,4,6,4,1,3,3
Fans,Philadelphia Phillies,MLB,Kimberton,Kimberton,Kimberton,19442,40.129517,-75.583145,28,Casual,Black,0.17,19442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Lake Meade,East Berlin,East Berlin,17316,39.9376,-76.97859,0,Convertible,Black,0.17,17316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Langhorne,Langhorne,Langhorne,19047,40.179971,-74.912096,38,Casual,Black,0.17,19047,10,12,0,29,0,0,2,1,5,3,19,0,12,4,3,5
Fans,Philadelphia Phillies,MLB,Laureldale,Reading,Reading,19605,40.404942,-75.941603,31,Casual,Black,0.17,19605,0,0,0,0,0,3,0,0,1,0,2,18,10,8,0,8
Fans,Philadelphia Phillies,MLB,Lawrence Township,Trenton,Trenton,8648,40.279457,-74.69118,0,Convertible,Black,0.17,8648,15,3,10,0,3,10,14,0,0,0,8,41,31,47,27,46
Fans,Philadelphia Phillies,MLB,Levittown,Levittown,Levittown,11756,40.7228,-73.515819,41,Casual,Black,0.17,11756,0,0,0,0,0,0,0,0,0,0,0,0,5,24,5,13
Fans,Philadelphia Phillies,MLB,Line Lexington,Line Lexington,Line Lexington,18932,40.299561,-75.254097,0,Convertible,Black,0.17,18932,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Fans,Philadelphia Phillies,MLB,Linntown,Lewisburg,Lewisburg,17837,40.969642,-76.948072,0,Convertible,Black,0.17,17837,0,0,0,2,0,0,0,0,2,2,0,0,0,1,0,2
Fans,Philadelphia Phillies,MLB,Little River,Little River,Little River,29566,33.87853,-78.63938,0,Convertible,Black,0.17,29566,6,28,8,0,20,4,9,12,10,23,7,9,5,4,0,0
Fans,Philadelphia Phillies,MLB,Logan Township,Washington,Washington,27889,35.519268,-76.8892,36,Casual,Black,0.17,27889,41,81,57,36,43,11,28,13,21,53,31,45,6,15,1,1
Fans,Philadelphia Phillies,MLB,Lumberton,Lumberton,Lumberton,8048,39.962299,-74.80007,30,Casual,Black,0.17,8048,5,3,3,12,0,5,12,2,3,0,23,34,16,5,28,19
Fans,Philadelphia Phillies,MLB,Magnolia,Magnolia,Magnolia,8049,39.854363,-75.036214,0,Convertible,Black,0.17,8049,2,0,0,0,5,0,0,1,8,3,6,14,8,0,13,3
Fans,Philadelphia Phillies,MLB,Mahanoy City,Mahanoy City,Mahanoy City,17948,40.81259,-76.1416,0,Convertible,Black,0.17,17948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Maple Shade Township,Maple Shade,Maple Shade,8052,39.951212,-74.992163,35,Casual,Black,0.17,8052,0,11,0,13,15,6,12,0,15,6,29,15,18,2,7,8
Fans,Philadelphia Phillies,MLB,Marshall,Marshall,Marshall,62441,39.39143,-87.69364,0,Convertible,Black,0.17,62441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
