dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Hatboro,Hatboro,Hatboro,19040,40.182406,-75.106265,46,Casual,Hispanic,0.18,19040,7,5,4,5,0,7,0,0,0,0,3,3,7,2,4,13
Fans,Philadelphia Phillies,MLB,Hatfield,Hatfield,Hatfield,19440,40.286592,-75.29093,36,Casual,Hispanic,0.18,19440,0,0,0,10,0,0,0,0,5,24,13,4,1,2,6,16
Fans,Philadelphia Phillies,MLB,Havertown,Havertown,Havertown,19083,39.974861,-75.312081,43,Casual,Hispanic,0.18,19083,0,0,0,0,0,0,7,0,0,6,1,4,5,3,5,9
Fans,Philadelphia Phillies,MLB,Herndon,Herndon,Herndon,20170,38.983887,-77.367457,0,Convertible,Hispanic,0.18,20170,5,12,12,6,11,18,19,5,7,19,45,98,66,66,75,113
Fans,Philadelphia Phillies,MLB,Highlands,Highlands,Highlands,7732,40.40372,-73.99153,0,Convertible,Hispanic,0.18,7732,11,0,3,0,0,0,0,0,0,0,0,0,7,0,3,1
Fans,Philadelphia Phillies,MLB,Hometown,Tamaqua,Tamaqua,18252,40.79849,-75.937836,0,Convertible,Hispanic,0.18,18252,0,1,0,0,0,0,0,1,0,5,5,0,14,8,0,0
Fans,Philadelphia Phillies,MLB,Hondo,Hondo,Hondo,78861,29.398586,-99.176245,0,Convertible,Hispanic,0.18,78861,37,5,51,17,0,7,25,14,0,63,57,17,33,10,7,3
Fans,Philadelphia Phillies,MLB,Horsham,Horsham,Horsham,19044,40.191808,-75.150577,47,Casual,Hispanic,0.18,19044,2,18,0,0,0,5,21,8,33,4,12,3,5,2,0,8
Fans,Philadelphia Phillies,MLB,Jenkintown,Jenkintown,Jenkintown,19046,40.09796,-75.107767,30,Casual,Hispanic,0.18,19046,10,0,0,0,0,0,3,1,0,1,2,0,0,9,4,23
Fans,Philadelphia Phillies,MLB,Jersey Shore,Jersey Shore,Jersey Shore,17740,41.25063,-77.267758,0,Convertible,Hispanic,0.18,17740,1,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
Fans,Philadelphia Phillies,MLB,Kennett Square,Kennett Square,Kennett Square,19348,39.867864,-75.716333,21,Convertible,Hispanic,0.18,19348,0,0,0,2,1,16,15,0,10,6,36,58,9,4,33,13
Fans,Philadelphia Phillies,MLB,Kimberton,Kimberton,Kimberton,19442,40.129517,-75.583145,28,Casual,Hispanic,0.18,19442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Lake Meade,East Berlin,East Berlin,17316,39.9376,-76.97859,0,Convertible,Hispanic,0.18,17316,0,0,0,0,1,0,0,0,0,2,2,0,0,4,0,0
