dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Huntington Station,Huntington Station,Huntington Station,11746,0,40.814348,-73.363363,Hispanic,0.26,,convertible,INDEX MATCH,18,0,33,13,9,51,18,36,0,8,81,61,108,108,116,154
Fans,Oklahoma City Thunder,NBA,Huntsville,Huntsville,Huntsville,35801,0,34.718428,-86.556439,Hispanic,0.26,,convertible,INDEX MATCH,2,7,7,2,0,0,2,6,6,0,9,15,12,2,5,8
Fans,Oklahoma City Thunder,NBA,Huron Charter Township,New Boston,New Boston,48164,0,42.135225,-83.390422,Hispanic,0.26,,convertible,INDEX MATCH,0,0,4,0,0,0,2,0,0,0,8,0,4,0,0,0
Fans,Oklahoma City Thunder,NBA,Inola,Inola,Inola,74036,0,36.169526,-95.521145,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,1,0,4,1,1,1,5,7,2,0
Fans,Oklahoma City Thunder,NBA,Island Lake,Island Lake,Island Lake,60042,0,42.27179,-88.188464,Hispanic,0.26,,convertible,INDEX MATCH,3,0,0,8,0,0,6,0,0,2,15,23,4,5,12,3
Fans,Oklahoma City Thunder,NBA,Jenks,Jenks,Jenks,74037,19,36.006567,-95.980972,Hispanic,0.26,,casual,INDEX MATCH,4,8,0,0,1,1,0,2,2,0,10,17,9,19,19,2
Fans,Oklahoma City Thunder,NBA,Juneau,Juneau,Juneau,99801,0,58.373561,-134.523946,Hispanic,0.26,,convertible,INDEX MATCH,2,2,8,1,0,8,1,44,10,21,8,23,12,4,3,23
Fans,Oklahoma City Thunder,NBA,Kamas,Kamas,Kamas,84036,0,40.667933,-111.312427,Hispanic,0.26,,convertible,INDEX MATCH,3,1,0,6,0,2,16,3,0,10,8,15,9,1,4,13
Fans,Oklahoma City Thunder,NBA,Kenosha,Kenosha,Kenosha,53140,0,42.622449,-87.830375,Hispanic,0.26,,convertible,INDEX MATCH,27,34,41,19,2,35,5,25,19,63,61,31,10,31,14,0
Fans,Oklahoma City Thunder,NBA,Kiawah Island,Johns Island,Johns Island,29455,0,32.624718,-80.040587,Hispanic,0.26,,convertible,INDEX MATCH,0,2,12,22,0,0,0,0,24,3,6,10,8,6,4,2
Fans,Oklahoma City Thunder,NBA,Kingfisher,Kingfisher,Kingfisher,73750,0,35.897508,-97.92563,Hispanic,0.26,,convertible,INDEX MATCH,0,5,0,7,0,1,0,0,0,10,17,8,0,7,11,1
Fans,Oklahoma City Thunder,NBA,Kingsville,Kingsville,Kingsville,78363,0,27.422876,-97.84068,Hispanic,0.26,,convertible,INDEX MATCH,238,169,108,129,202,81,76,38,72,227,116,242,203,86,101,27
Fans,Oklahoma City Thunder,NBA,Kirbyville,Kirbyville,Kirbyville,75956,0,30.658273,-93.8984,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,3,53,0,0,0,0,0,0,0,7,0,0
Fans,Oklahoma City Thunder,NBA,La Conner,La Conner,La Conner,98257,0,48.414123,-122.508364,Hispanic,0.26,,convertible,INDEX MATCH,0,0,1,0,1,1,2,0,1,1,1,19,1,2,0,1
Fans,Oklahoma City Thunder,NBA,La Grange,La Grange,La Grange,60525,0,41.78443,-87.868953,Hispanic,0.26,,convertible,INDEX MATCH,9,6,0,9,7,1,27,9,18,38,21,37,19,19,27,68
Fans,Oklahoma City Thunder,NBA,La Puente,La Puente,La Puente,91744,0,34.031415,-117.93647,Hispanic,0.26,,convertible,INDEX MATCH,109,63,57,72,116,119,161,98,131,306,307,557,385,438,421,315
Fans,Oklahoma City Thunder,NBA,LaPlace,La Place,La Place,70068,0,30.107701,-90.42675,Hispanic,0.26,,convertible,INDEX MATCH,0,9,0,0,0,6,9,5,0,26,5,54,40,5,30,2
Fans,Oklahoma City Thunder,NBA,Lake Grove,Lake Grove,Lake Grove,11755,0,40.85185,-73.129003,Hispanic,0.26,,convertible,INDEX MATCH,3,0,0,0,0,0,0,27,0,0,2,2,0,11,26,14
Fans,Oklahoma City Thunder,NBA,Lake Zurich,Lake Zurich,Lake Zurich,60047,0,42.216543,-88.076942,Hispanic,0.26,,convertible,INDEX MATCH,0,5,0,0,0,0,0,3,0,3,19,64,11,0,42,38
Fans,Oklahoma City Thunder,NBA,Lakewood,Lakewood,Lakewood,18439,0,41.828081,-75.396741,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Lancaster,Lancaster,Lancaster,17601,6,40.076553,-76.31068,Hispanic,0.26,,convertible,INDEX MATCH,22,8,18,37,37,10,11,0,27,19,79,105,56,27,11,68
Fans,Oklahoma City Thunder,NBA,Lansing,Lansing,Lansing,48911,0,42.680335,-84.543494,Hispanic,0.26,,convertible,INDEX MATCH,23,31,18,17,27,9,20,10,9,59,48,74,53,3,11,9
Fans,Oklahoma City Thunder,NBA,Latta,Latta,Latta,29565,0,34.384337,-79.478122,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Lawton,Lawton,Lawton,73501,28,34.557945,-98.290973,Hispanic,0.26,,casual,INDEX MATCH,13,41,16,21,1,0,2,7,19,41,16,22,22,1,7,4
Fans,Oklahoma City Thunder,NBA,Lincoln Village,Columbus,Columbus,43228,0,39.966378,-83.125661,Hispanic,0.26,,convertible,INDEX MATCH,26,26,35,22,21,11,22,43,31,110,103,51,19,37,27,12
Fans,Oklahoma City Thunder,NBA,Lindsay,Lindsay,Lindsay,73052,0,34.836481,-97.51668,Hispanic,0.26,,convertible,INDEX MATCH,5,3,0,0,2,8,0,5,3,2,2,4,0,0,0,1
Fans,Oklahoma City Thunder,NBA,Lino Lakes,Circle Pines,Circle Pines,55014,0,45.185565,-93.129272,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,2,6,6,2,7,0,0
