dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Harleysville,Harleysville,Harleysville,19438,40.274188,-75.395188,42,Casual,White,0.62,19438,112,4,66,92,69,110,45,125,86,153,243,303,355,508,459,927
Fans,Philadelphia Phillies,MLB,Harrisburg,Harrisburg,Harrisburg,17101,40.258655,-76.894376,0,Convertible,White,0.62,17101,30,36,38,0,46,12,20,38,13,50,51,334,64,45,0,37
Fans,Philadelphia Phillies,MLB,Hatboro,Hatboro,Hatboro,19040,40.182406,-75.106265,46,Casual,White,0.62,19040,163,75,99,64,152,109,45,115,79,171,207,374,527,574,649,635
Fans,Philadelphia Phillies,MLB,Hatfield,Hatfield,Hatfield,19440,40.286592,-75.29093,36,Casual,White,0.62,19440,60,56,61,102,69,112,64,63,198,107,227,237,450,360,192,534
Fans,Philadelphia Phillies,MLB,Havertown,Havertown,Havertown,19083,39.974861,-75.312081,43,Casual,White,0.62,19083,114,90,76,92,140,216,99,184,161,257,443,499,701,849,715,1046
Fans,Philadelphia Phillies,MLB,Herndon,Herndon,Herndon,20170,38.983887,-77.367457,0,Convertible,White,0.62,20170,61,16,10,36,16,89,55,49,73,33,131,219,482,338,335,719
Fans,Philadelphia Phillies,MLB,Highlands,Highlands,Highlands,7732,40.40372,-73.99153,0,Convertible,White,0.62,7732,54,25,20,40,49,81,63,27,65,20,85,82,219,176,90,102
Fans,Philadelphia Phillies,MLB,Hometown,Tamaqua,Tamaqua,18252,40.79849,-75.937836,0,Convertible,White,0.62,18252,114,206,110,109,73,114,53,134,156,87,162,268,308,265,137,302
Fans,Philadelphia Phillies,MLB,Hondo,Hondo,Hondo,78861,29.398586,-99.176245,0,Convertible,White,0.62,78861,110,29,30,69,35,107,73,113,79,97,252,450,171,202,150,140
Fans,Philadelphia Phillies,MLB,Horsham,Horsham,Horsham,19044,40.191808,-75.150577,47,Casual,White,0.62,19044,36,159,20,138,20,18,22,136,33,269,256,523,317,363,226,341
Fans,Philadelphia Phillies,MLB,Jenkintown,Jenkintown,Jenkintown,19046,40.09796,-75.107767,30,Casual,White,0.62,19046,187,121,110,186,77,181,86,133,73,60,125,233,386,391,343,519
Fans,Philadelphia Phillies,MLB,Jersey Shore,Jersey Shore,Jersey Shore,17740,41.25063,-77.267758,0,Convertible,White,0.62,17740,79,83,149,65,148,115,57,99,71,123,234,342,503,310,213,128
Fans,Philadelphia Phillies,MLB,Kennett Square,Kennett Square,Kennett Square,19348,39.867864,-75.716333,21,Convertible,White,0.62,19348,73,37,91,66,92,116,69,200,69,128,143,417,482,475,458,763
Fans,Philadelphia Phillies,MLB,Kimberton,Kimberton,Kimberton,19442,40.129517,-75.583145,28,Casual,White,0.62,19442,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Lake Meade,East Berlin,East Berlin,17316,39.9376,-76.97859,0,Convertible,White,0.62,17316,41,22,49,24,27,31,24,43,71,58,183,175,218,353,235,221
Fans,Philadelphia Phillies,MLB,Langhorne,Langhorne,Langhorne,19047,40.179971,-74.912096,38,Casual,White,0.62,19047,191,89,92,165,186,127,48,252,173,172,301,477,823,644,703,1058
Fans,Philadelphia Phillies,MLB,Laureldale,Reading,Reading,19605,40.404942,-75.941603,31,Casual,White,0.62,19605,171,126,111,100,61,84,42,123,206,168,260,508,508,394,368,478
Fans,Philadelphia Phillies,MLB,Lawrence Township,Trenton,Trenton,8648,40.279457,-74.69118,0,Convertible,White,0.62,8648,141,42,78,162,202,95,55,177,95,81,179,303,502,512,518,541
Fans,Philadelphia Phillies,MLB,Levittown,Levittown,Levittown,11756,40.7228,-73.515819,41,Casual,White,0.62,11756,128,33,99,81,99,104,79,50,242,131,210,338,779,784,678,1219
Fans,Philadelphia Phillies,MLB,Line Lexington,Line Lexington,Line Lexington,18932,40.299561,-75.254097,0,Convertible,White,0.62,18932,0,0,10,0,0,12,19,0,0,0,0,43,6,0,0,0
Fans,Philadelphia Phillies,MLB,Linntown,Lewisburg,Lewisburg,17837,40.969642,-76.948072,0,Convertible,White,0.62,17837,203,159,95,187,220,192,99,103,213,170,255,229,353,412,261,292
Fans,Philadelphia Phillies,MLB,Little River,Little River,Little River,29566,33.87853,-78.63938,0,Convertible,White,0.62,29566,141,170,153,252,108,413,256,298,193,324,312,650,756,523,299,213
Fans,Philadelphia Phillies,MLB,Logan Township,Washington,Washington,27889,35.519268,-76.8892,36,Casual,White,0.62,27889,164,183,293,224,235,195,109,193,157,283,359,551,403,397,193,433
Fans,Philadelphia Phillies,MLB,Lumberton,Lumberton,Lumberton,8048,39.962299,-74.80007,30,Casual,White,0.62,8048,102,16,61,4,58,33,19,50,27,56,76,169,206,167,174,337
Fans,Philadelphia Phillies,MLB,Magnolia,Magnolia,Magnolia,8049,39.854363,-75.036214,0,Convertible,White,0.62,8049,17,30,14,40,17,14,17,27,75,27,91,127,132,162,69,88
Fans,Philadelphia Phillies,MLB,Mahanoy City,Mahanoy City,Mahanoy City,17948,40.81259,-76.1416,0,Convertible,White,0.62,17948,96,69,48,118,43,42,18,55,27,40,59,100,74,71,66,16
Fans,Philadelphia Phillies,MLB,Maple Shade Township,Maple Shade,Maple Shade,8052,39.951212,-74.992163,35,Casual,White,0.62,8052,94,140,91,70,156,216,101,165,103,255,223,266,707,394,236,308
Fans,Philadelphia Phillies,MLB,Marshall,Marshall,Marshall,62441,39.39143,-87.69364,0,Convertible,White,0.62,62441,26,55,24,69,86,86,55,43,55,91,166,142,256,258,233,89
Fans,Philadelphia Phillies,MLB,Matawan,Matawan,Matawan,7747,40.407507,-74.233788,0,Convertible,White,0.62,7747,156,249,66,154,128,97,68,134,226,116,278,330,598,928,663,1029
Fans,Philadelphia Phillies,MLB,Maurice River,Heislerville,Heislerville,8324,39.224047,-74.994184,0,Convertible,White,0.62,8324,0,0,0,0,0,0,9,0,4,9,9,7,17,6,0,6
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,White,0.62,92359,24,33,43,55,92,30,28,7,35,72,105,122,140,115,167,140
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,White,0.62,92359,24,33,43,55,92,30,28,7,35,72,105,122,140,115,167,140
Fans,Philadelphia Phillies,MLB,Millersville,Goodlettsville,Goodlettsville,37072,36.34145,-86.775747,24,Convertible,White,0.62,37072,306,115,208,261,68,277,107,233,187,166,510,597,998,634,377,686
Fans,Philadelphia Phillies,MLB,Millsboro,Millsboro,Millsboro,19966,38.659458,-75.24641,22,Convertible,White,0.62,19966,213,251,251,169,170,335,149,313,355,412,526,846,1112,774,545,473
Fans,Philadelphia Phillies,MLB,Montgomeryville,Montgomeryville,Montgomeryville,18936,40.24733,-75.24379,35,Casual,White,0.62,18936,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0
Fans,Philadelphia Phillies,MLB,Morrisville,Richeyville,Richeyville,15358,40.056347,-79.992554,30,Casual,White,0.62,15358,7,0,27,5,15,8,13,15,24,0,0,13,73,43,27,0
Fans,Philadelphia Phillies,MLB,Mount Ephraim,Mount Ephraim,Mount Ephraim,8059,39.886463,-75.094068,38,Casual,White,0.62,8059,80,20,54,37,56,30,25,15,28,36,114,59,159,120,115,170
